R139	F [0.37,0   Confidence: MEDIUM] 
R1390	R [0,0.37   Confidence: MEDIUM] 
R1391	R [0,0.37   Confidence: MEDIUM] 
R1392	NA [0.37,0.37   Confidence: NA] 
R1393	R [0,0.37   Confidence: MEDIUM] 
R1394	F [0.37,0   Confidence: MEDIUM] 
R1395	NA [0.37,0.37   Confidence: NA] 
R1396	R [0,0.74   Confidence: HIGH] 
R1397	F [0.74,0   Confidence: HIGH] 
R1398	R [0,0.37   Confidence: MEDIUM] 
R1399	F [0.37,0   Confidence: MEDIUM] 
R14	NA [0.37,0.37   Confidence: NA] 
R140	F [0.37,0   Confidence: MEDIUM] 
R1400	R [0,0.37   Confidence: MEDIUM] 
R1401	F [0.37,0   Confidence: MEDIUM] 
R1402	F [0.37,0   Confidence: MEDIUM] 
R1403	F [0.37,0   Confidence: MEDIUM] 
R1404	F [0.37,0   Confidence: MEDIUM] 
R1405	R [0,0.37   Confidence: MEDIUM] 
R1406	R [0,0.37   Confidence: MEDIUM] 
R1407	NA [0,0   Confidence: NA] 
R1408	R [0,0.37   Confidence: MEDIUM] 
R1409	R [0,0.74   Confidence: HIGH] 
R141	R [0,0.37   Confidence: MEDIUM] 
R1410	F [0.37,0   Confidence: MEDIUM] 
R1411	F [0.37,0   Confidence: MEDIUM] 
R1412	R [0,0.37   Confidence: MEDIUM] 
R1413	F [0.37,0   Confidence: MEDIUM] 
R1414	F [0.37,0   Confidence: MEDIUM] 
R1415	R [0,0.37   Confidence: MEDIUM] 
R1416	R [0,0.37   Confidence: MEDIUM] 
R1417	NA [0.37,0.37   Confidence: NA] 
R1418	NA [0.37,0.37   Confidence: NA] 
R1419	NA [0.37,0.37   Confidence: NA] 
R142	F [0.37,0   Confidence: MEDIUM] 
R1420	F [0.37,0   Confidence: MEDIUM] 
R1421	NA [0,0   Confidence: NA] 
R1422	F [0.37,0   Confidence: MEDIUM] 
R1423	F [5.24,0   Confidence: HIGH] 
R1424	NA [0.37,0.37   Confidence: NA] 
R1425	NA [0.37,0.37   Confidence: NA] 
R1426	R [0,0.37   Confidence: MEDIUM] 
R1427	NA [0,0   Confidence: NA] 
R1428	F [4.87,0.37   Confidence: HIGH] 
R1429	F [0.37,0   Confidence: MEDIUM] 
R143	F [0.37,0   Confidence: MEDIUM] 
R1430	R [0,0.37   Confidence: MEDIUM] 
R1431	NA [0.37,0.37   Confidence: NA] 
R1432	F [0.74,0   Confidence: HIGH] 
R1433	R [0,0.37   Confidence: MEDIUM] 
R1434	NA [0.37,0.37   Confidence: NA] 
R1435	NA [0.37,0.37   Confidence: NA] 
R1436	NA [0.37,0.37   Confidence: NA] 
R1437	NA [0.37,0.37   Confidence: NA] 
R1438	NA [0.37,0.37   Confidence: NA] 
R1439	R [0.37,4.5   Confidence: HIGH] 
R144	F [0.37,0   Confidence: MEDIUM] 
R1440	R [0,5.24   Confidence: HIGH] 
R1441	R [0,4.87   Confidence: HIGH] 
R1442	R [0,4.87   Confidence: HIGH] 
R1443	R [0,4.87   Confidence: HIGH] 
R1444	R [0.37,4.5   Confidence: HIGH] 
R1445	R [0.74,4.5   Confidence: HIGH] 
R1446	R [0.37,4.87   Confidence: HIGH] 
R1447	R [0.74,4.5   Confidence: HIGH] 
R1448	R [0.37,4.87   Confidence: HIGH] 
R1449	R [0.37,4.5   Confidence: HIGH] 
R145	NA [0.37,0.37   Confidence: NA] 
R1450	R [0.37,4.5   Confidence: HIGH] 
R1451	R [0.37,4.87   Confidence: HIGH] 
R1452	R [0.37,4.87   Confidence: HIGH] 
R1453	R [0.74,4.5   Confidence: HIGH] 
R1454	R [0.37,4.87   Confidence: HIGH] 
R1455	R [0,4.5   Confidence: HIGH] 
R1456	R [0.37,4.87   Confidence: HIGH] 
R1457	R [0.37,4.87   Confidence: HIGH] 
R1458	R [0.37,4.5   Confidence: HIGH] 
R1459	R [0.74,4.5   Confidence: HIGH] 
R146	NA [0.37,0.37   Confidence: NA] 
R1460	R [0.37,4.87   Confidence: HIGH] 
R1461	R [0.37,4.87   Confidence: HIGH] 
R1462	R [0.37,4.87   Confidence: HIGH] 
R1463	R [0.37,4.87   Confidence: HIGH] 
R1464	R [0.37,4.87   Confidence: HIGH] 
R1465	R [0.37,4.87   Confidence: HIGH] 
R1466	R [0.37,4.87   Confidence: HIGH] 
R1467	R [0.37,4.87   Confidence: HIGH] 
R1468	R [0.37,4.87   Confidence: HIGH] 
R1469	R [0.37,4.87   Confidence: HIGH] 
R147	R [0,0.37   Confidence: MEDIUM] 
R1470	R [0.74,4.5   Confidence: HIGH] 
R1471	R [0.37,4.87   Confidence: HIGH] 
R1472	R [0.37,4.87   Confidence: HIGH] 
R1473	R [0,5.24   Confidence: HIGH] 
R1474	R [0.37,4.87   Confidence: HIGH] 
R1475	R [0.37,4.87   Confidence: HIGH] 
R1476	R [0,4.5   Confidence: HIGH] 
R1477	R [0.37,4.87   Confidence: HIGH] 
R1478	R [0.37,4.87   Confidence: HIGH] 
R1479	R [0.37,4.5   Confidence: HIGH] 
R148	F [4.87,0   Confidence: HIGH] 
R1480	R [0.37,4.5   Confidence: HIGH] 
R1481	R [0.37,4.87   Confidence: HIGH] 
R1482	R [0,5.24   Confidence: HIGH] 
R1483	R [0.37,4.87   Confidence: HIGH] 
R1484	R [0.37,4.87   Confidence: HIGH] 
R1485	R [0.37,4.87   Confidence: HIGH] 
R1486	R [0.37,4.87   Confidence: HIGH] 
R1487	R [0.74,4.5   Confidence: HIGH] 
R1488	R [0.74,4.5   Confidence: HIGH] 
R1489	R [0.37,4.87   Confidence: HIGH] 
R149	F [0.37,0   Confidence: MEDIUM] 
